"Private_School_Name","State_Name_Latest","State_Name_2019_20","STATE_not_geo_file","STATE","Private_School_Name_2019_20","PPIN","Total_Students_Private_2019_20","Black_Students_Private_2019_20","Hispanic_Students_Private_2019_20","Native_Students_Private_2019_20","Hawaiian_Students_Private_2019_20","Asian_Students_Private_2019_20","White_Students_Private_2019_20","prop_black","prop_hispanic","prop_native","prop_hawaiian","prop_asian","prop_white","FTE_Teachers_Private_2019_20","LOCALE","urbanicity_geo_data","LAT","LON","urbanicity"
"CAMELLIA BAPTIST WEM","ALABAMA","ALABAMA","AL","AL","CAMELLIA BAPTIST WEM","A0100060",114,2,0,0,0,0,3,33.33,0,0,0,0,50,1,"21","suburban",32.46935,-86.458475,"suburban"
"FIRST PRESBYTERIAN KINDERGARTEN","ALABAMA","ALABAMA","AL","AL","FIRST PRESBYTERIAN KINDERGARTEN","A0900032",64,0,0,0,0,0,11,0,0,0,0,0,91.67,1.1,"21","suburban",32.4608,-86.472061,"suburban"
"FIRST BAPTIST PRESCHOOL AND KINDERGARTEN","ALABAMA","ALABAMA","AL","AL","FIRST BAPTIST PRESCHOOL AND KINDERGARTEN","K9300030",126,0,1,0,0,2,20,0,4.35,0,0,8.7,86.96,3,"21","suburban",32.46171,-86.470441,"suburban"
"ST BENEDICT CATHOLIC SCHOOL","ALABAMA","ALABAMA","AL","AL","ST BENEDICT CATHOLIC SCHOOL","00000634",128,2,10,0,0,2,95,1.83,9.17,0,0,1.83,87.16,13.3,"31","town",30.4112,-87.600521,"town"
NA,NA,NA,NA,"AL",NA,"00001682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","rural",30.546135,-87.727016,"rural"
"MARIETTA JOHNSON SCHOOL OF ORGANIC EDUCATION","ALABAMA","ALABAMA","AL","AL","MARIETTA JOHNSON SCHOOL OF ORGANIC EDUCATION","00002176",8,0,0,0,0,0,3,0,0,0,0,0,100,1.6,"13","city",30.51002,-87.900941,"city"
"ST PATRICK CATHOLIC SCHOOL","ALABAMA","ALABAMA","AL","AL","ST PATRICK CATHOLIC SCHOOL","01604001",172,0,18,2,0,1,118,0,12.59,1.4,0,0.7,82.52,10.5,"31","town",30.562348,-87.715735,"town"
NA,NA,NA,NA,"AL",NA,"A0500005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","city",30.60226,-87.911151,"city"
NA,NA,NA,NA,"AL",NA,"A1170018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","town",30.32514,-87.681807,"town"
"BAYSHORE CHRISTIAN SCHOOL","ALABAMA","ALABAMA","AL","AL","BAYSHORE CHRISTIAN SCHOOL","A1900005",440,4,0,3,0,12,401,0.95,0,0.71,0,2.84,95.02,40.1,"13","city",30.560348,-87.892666,"city"
