REGION,SITE ID,EPA ID,SITE NAME,STREET ADDRESS,STREET ADDRESS 2,CITY,STATE,ZIP,CONG DISTRICT,COUNTY,FIPS CODE,LATITUDE,LONGITUDE,SUPERFUND ALTERNATIVE AGREEMENT,NPL,FF,FF DOCKET,NON NPL STATUS
01,0102722,CT0000070417,NORTH CASTLE CLEANERS,104 NORTH STREET,,GREENWICH,CT,06830,04,FAIRFIELD,09001,+41.14,-073.63,N,Not on the NPL,N,N,Other Cleanup Activity: State-Lead Cleanup
01,0102735,CT0000292920,HARTT PROPERTY,1209-1213 FOXON ROAD,,NORTH BRANFORD,CT,06405,03,NEW HAVEN,09009,+41.34,-072.75,N,Not on the NPL,N,N,Site Reassessment Start Needed
01,0102950,CT0002055887,BROAD BROOK MILL,"110,112 MAIN ST AND 1-21 BROOKSIDE DRIVE",,EAST WINDSOR,CT,06016,01,HARTFORD,09003,+41.916667,-72.547222,N,Removed from Proposed NPL,N,N,Formal State Deferral
01,0102953,CT0002265551,SCOVILL INDUSTRIAL LANDFILL,STORE AVENUE,,WATERBURY,CT,06705,05,NEW HAVEN,09009,41.550389,-73.010639,N,Currently on the Final NPL,N,N,
01,0102565,CT0572826873,CT AIR NATIONAL GUARD BRADLEY BASE,BRADLEY ANG BASE,,EAST GRANBY,CT,06026,06,HARTFORD,09003,+41.93,-072.70,N,Not on the NPL,Y,Y,Other Cleanup Activity: State-Lead Cleanup
01,0100324,CT4170022020,DOD/USN SB/AREA A LANDFILL #2,US NAVAL SUBMARINE BASE,,GROTON,CT,06349,02,NEW LONDON,09011,41.408333,-72.093333,N,Site is Part of NPL Site,Y,N,
01,0106160,CT5000001545,VA CT HEALTH CARE SYSTEM WEST HAVEN CAMPUS,950 CAMPBELL AVENUE,,WEST HAVEN,CT,06516,,NEW HAVEN,09009,+41.284678,-72.957394,N,Not on the NPL,Y,Y,NFRAP-Site does not qualify for the NPL based on existing information
01,0101825,CT8170024790,NAVAL UNDERWATER SYSTEMS CENTER,DODGE POND FIELD STATION,,EAST LYME,CT,06357,02,NEW LONDON,09011,+41.32,-072.19,N,Not on the NPL,Y,Y,NFRAP-Site does not qualify for the NPL based on existing information
01,0102599,CTD000841221,USM FASTNER GROUP,510 RIVER ROAD,,SHELTON,CT,06484,05,FAIRFIELD,09001,+41.28,-073.08,N,Not on the NPL,N,N,Other Cleanup Activity: State-Lead Cleanup
01,0100009,CTD000842500,GENERAL ELECTRIC COMPANY,NEW BRITAIN AVE GATE 3,,PLAINVILLE,CT,06062,06,HARTFORD,09003,41.672222,-72.850000,N,Not on the NPL,N,N,Other Cleanup Activity: State-Lead Cleanup
